Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Average_eye_openness	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 4	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 4	303735	0	Space	1033	517	467	567	2	196661	467	Rectangle 2		4.22427	9.72873	1033	517	467	567	2	196661	467	4.22427	9.72873	1033	517	467	567	2	196661	467	1083	542	483	600	2	196645	483	0			0			0	196645	197128	91.3	236.25
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 4	303735	0	Space	300	300	300	300	1	175511	300	Rectangle 2		4.79779	9.75415	300	300	300	300	1	175511	300	4.79779	9.75415	300	300	300	300	1	175511	300	317	317	317	317	1	175494	317	0			0			0	175494	175811	51.12	214.05
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 4	303735	0	Space	267	267	267	267	1	209911	267	Rectangle 2		4.33619	10.31118	267	267	267	267	1	209911	267	4.33619	10.31118	267	267	267	267	1	209911	267	283	283	283	283	1	209895	283	0			0			0	209895	210178	181.28	192.84
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 4	303735	0	Space	483	242	233	250	2	238145	250	Rectangle 2		4.28455	8.37376	483	242	233	250	2	238145	250	4.28455	8.37376	483	242	233	250	2	238145	250	567	283	267	300	2	238095	300	0			0			0	238095	238395	247.03	185.63
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 4	303735	0	Space	200	200	200	200	1	279528	200	Rectangle 2		4.88341	9.56967	200	200	200	200	1	279528	200	4.88341	9.56967	200	200	200	200	1	279528	200	233	233	233	233	1	279495	233	0			0			0	279495	279728	95.03	116.77
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 5	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 5	303735	0	Space	300	300	300	300	1	197478	300	Rectangle 2		3.92489	9.51575	300	300	300	300	1	197478	300	3.92489	9.51575	300	300	300	300	1	197478	300	350	350	350	350	1	197428	350	0			0			0	197428	197778	319.76	157.25
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 5	303735	0	Space	317	317	317	317	1	176828	317	Rectangle 2		4.94729	9.58364	317	317	317	317	1	176828	317	4.94729	9.58364	317	317	317	317	1	176828	317	333	333	333	333	1	176811	333	0			0			0		177144		70.36
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 5	303735	0	Space	917	229	117	350	4	210478	217	Rectangle 2		4.2461	9.80116	917	229	117	350	4	210478	217	4.2461	9.80116	917	229	117	350	4	210478	217	1050	263	150	383	4	210445	250	0			0			0	210445	210695	123.63	249.01
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 5	303735	0	Space	600	300	133	467	2	236128	467	Rectangle 2		4.27954	7.48052	600	300	133	467	2	236128	467	4.27954	7.48052	600	300	133	467	2	236128	467	667	333	167	500	2	236095	500	0			0			0	236095	236595	103.24	90.57
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 5	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 6	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 6	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 6	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 6	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 6	303735	0	Space	333	167	167	167	2	235928	167	Rectangle 2		4.37596	7.84106	333	167	167	167	2	235928	167	4.37596	7.84106	333	167	167	167	2	235928	167	400	200	200	200	2	235895	200	0			0			0	235895	236095	149.53	103.24
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 6	303735	0	Space	367	367	367	367	1	284628	367	Rectangle 2		5.01244	9.4488	367	367	367	367	1	284628	367	5.01244	9.4488	367	367	367	367	1	284628	367	383	383	383	383	1	284612	383	0			0			0	284612	284995	126.82	207.36
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 7	303735	0	Space	750	375	350	400	2	272495	350	Rectangle 2		4.17691	9.2871	750	375	350	400	2	272495	350	4.17691	9.2871	767	767	767	767	1	272495	767	800	800	800	800	1	272462	800	0			0			1	272462	273262	117.27	69.26
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 7	303735	0	Space	583	583	583	583	1	169028	583	Rectangle 2		4.4311	9.66575	583	583	583	583	1	169028	583	4.4311	9.66575	583	583	583	583	1	169028	583	617	617	617	617	1	168994	617	0			0			0	168994	169611	291.25	165.65
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 7	303735	0	Space	133	133	133	133	1	237961	133	Rectangle 2		4.30701	8.15643	133	133	133	133	1	237961	133	4.30701	8.15643	133	133	133	133	1	237961	133	167	167	167	167	1	237928	167	0			0			0	237928	238095	80.53	247.03
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 7	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 8	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 8	303735	0	Space	200	200	200	200	1	237728	200	Rectangle 2		4.32049	8.1271	200	200	200	200	1	237728	200	4.32049	8.1271	200	200	200	200	1	237728	200	217	217	217	217	1	237711	217	0			0			0	237711	237928	51.55	80.53
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 8	303735	0	Space	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording3	P001	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 9	303735	0	Space	683	228	183	300	3	235495	183	Rectangle 2		4.48584	8.4473	683	228	183	300	3	235495	183	4.48584	8.4473	700	350	300	400	2	235495	400	817	408	383	433	2	235461	433	0			0			1	235461	235895	124.17	149.53
Recording4	P002	Timeline1	findDice	1	findDice	Dice	10011	134149		533	178	100	217	3	3868	217	Rectangle 7	Rectangle 7	4.42462	8.92977	533	178	100	217	3	3868	217	4.42462	8.92977	533	178	100	217	3	3868	217	633	211	133	250	3	3835	250	0			0			0	3835	4085	145.67	111.33
Recording4	P002	Timeline1	findDice	1	findDice	M1	10011	134149		317	317	317	317	1	3268	317	Rectangle 7	Rectangle 7	4.35069	9.02049	317	317	317	317	1	3268	317	4.35069	9.02049	317	317	317	317	1	3268	317	350	350	350	350	1	3235	350	0			0			0	3235	3585	58.31	190.07
Recording4	P002	Timeline1	findDice	1	findDice	M2	10011	134149		133	133	133	133	1	5535	133	Rectangle 7	Rectangle 7	4.75654	8.88522	133	133	133	133	1	5535	133	4.75654	8.88522	133	133	133	133	1	5535	133	183	183	183	183	1	5485	183	0			0			0	5485	5668	168.52	120.9
Recording4	P002	Timeline1	findDice	1	findDice	Rectangle 3	10011	134149		167	167	167	167	1	818	167	Rectangle 7	Rectangle 7	3.88514	8.97835	167	167	167	167	1	818	167	3.88514	8.97835	167	167	167	167	1	818	167	200	200	200	200	1	785	200	0			0			0	785	985	55.9	297.36
Recording4	P002	Timeline1	findDice	1	findDice	Rectangle 4	10011	134149		0				0			Rectangle 7	Rectangle 7			0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	findDice	1	findDice	Rectangle 5	10011	134149		200	200	200	200	1	3635	200	Rectangle 7	Rectangle 7	4.28695	8.85229	200	200	200	200	1	3635	200	4.28695	8.85229	200	200	200	200	1	3635	200	250	250	250	250	1	3585	250	0			0			0	3585	3835	190.07	145.67
Recording4	P002	Timeline1	findDice	1	findDice	Rectangle 6	10011	134149		0				0			Rectangle 7	Rectangle 7			0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	findDice	1	findDice	Rectangle 7	10011	134149		176	176	176	176	1	9835	176	Rectangle 7	Rectangle 7	4.57371	9.00514	0				0					176	176	176	176	1	9835	176	193	193	193	193	1	9818	193	0			0			0	9818		31.3	
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle	10004	206483		69	69	69	69	1	9935	69	Rectangle	Rectangle	3.65396	9.16441	0				0					69	69	69	69	1	9935	69	102	102	102	102	1	9901	102	0			0			0	9901		149.69	
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle 1	10004	206483		0				0			Rectangle	Rectangle			0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle 2	10004	206483		117	117	117	117	1	8668	117	Rectangle	Rectangle	4.13323	8.96084	117	117	117	117	1	8668	117	4.13323	8.96084	117	117	117	117	1	8668	117	133	133	133	133	1	8651	133	0			0			0	8651		64.79	
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle 3	10004	206483		1683	561	500	617	3	5368	500	Rectangle	Rectangle	4.10964	8.96866	1683	561	500	617	3	5368	500	4.10964	8.96866	1700	850	617	1083	2	5368	1083	1800	900	667	1133	2	5318	1133	0			0			1	5318	6451	206.83	204.66
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle 4	10004	206483		0				0			Rectangle	Rectangle			0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle 5	10004	206483		667	333	267	400	2	9218	400	Rectangle	Rectangle	3.76757	9.26554	667	333	267	400	2	9218	400	3.76757	9.26554	683	683	683	683	1	9218	683	717	717	717	717	1	9185	717	0			0			1	9185	9901	199.34	149.69
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle 6	10004	206483		0				0			Rectangle	Rectangle			0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle 7	10004	206483		0				0			Rectangle	Rectangle			0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	findYummy	1	findYummy	Rectangle 8	10004	206483		0				0			Rectangle	Rectangle			0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	frog	1	frog	Rectangle	11783	155846		217	217	217	217	1	1555	217	Rectangle 6		3.86476	9.21745	217	217	217	217	1	1555	217	3.86476	9.21745	217	217	217	217	1	1555	217	250	250	250	250	1	1522	250	0			0			0	1522	1772	295.26	490.53
Recording4	P002	Timeline1	frog	1	frog	Rectangle 1	11783	155846		0				0			Rectangle 6				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	frog	1	frog	Rectangle 2	11783	155846		0				0			Rectangle 6				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	frog	1	frog	Rectangle 3	11783	155846		0				0			Rectangle 6				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	frog	1	frog	Rectangle 4	11783	155846		450	225	167	283	2	1822	167	Rectangle 6		4.14759	8.68987	450	225	167	283	2	1822	167	4.14759	8.68987	450	225	167	283	2	1822	167	517	258	217	300	2	1772	217	0			0			0	1772	1989	490.53	82.52
Recording4	P002	Timeline1	frog	1	frog	Rectangle 5	11783	155846		0				0			Rectangle 6				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	frog	1	frog	Rectangle 6	11783	155846		2667	381	100	733	7	2005	233	Rectangle 6		4.17383	8.61989	2667	381	100	733	7	2005	233	4.17383	8.61989	2683	447	233	733	6	2005	233	2917	486	250	800	6	1989	250	0			0			1	1989	2239	82.52	208.09
Recording4	P002	Timeline1	frogInBathroom	1	frogInBathroom	Rectangle	21012	185471		833	278	167	483	3	15547	183	Rectangle		3.91765	9.07445	833	278	167	483	3	15547	183	3.91765	9.07445	833	278	167	483	3	15547	183	950	317	200	517	3	15497	233	0			0			0	15497	15730	268.32	43.1
Recording4	P002	Timeline1	frogInBathroom	1	frogInBathroom	Rectangle 1	21012	185471		0				0			Rectangle				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	frogInBathroom	1	frogInBathroom	Rectangle 2	21012	185471		0				0			Rectangle				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle	10001	145845		200	200	200	200	1	8773	200	Rectangle 1		4.17644	8.82497	200	200	200	200	1	8773	200	4.17644	8.82497	200	200	200	200	1	8773	200	250	250	250	250	1	8723	250	0			0			0	8723	8973	256.18	96.68
Recording4	P002	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle 1	10001	145845		383	192	150	233	2	3906	233	Rectangle 1		4.18607	8.88658	383	192	150	233	2	3906	233	4.18607	8.88658	383	192	150	233	2	3906	233	467	233	183	283	2	3856	283	0			0			0	3856	4140	157.29	184.08
Recording4	P002	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle 2	10001	145845		1683	561	300	817	3	4173	300	Rectangle 1		4.04867	9.00642	1683	561	300	817	3	4173	300	4.04867	9.00642	1700	850	300	1400	2	4173	300	1767	883	333	1433	2	4140	333	0			0			1	4140	4473	184.08	169.5
Recording4	P002	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle 3	10001	145845		233	233	233	233	1	4690	233	Rectangle 1		4.1111	8.98019	233	233	233	233	1	4690	233	4.1111	8.98019	233	233	233	233	1	4690	233	267	267	267	267	1	4656	267	0			0			0	4656	4923	64.48	102.72
Recording4	P002	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle 4	10001	145845		200	200	200	200	1	8140	200	Rectangle 1		3.88572	8.95339	200	200	200	200	1	8140	200	3.88572	8.95339	200	200	200	200	1	8140	200	217	217	217	217	1	8123	217	0			0			0	8123	8340	78.15	160.27
Recording4	P002	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle 5	10001	145845		200	200	200	200	1	3656	200	Rectangle 1		4.0447	8.86345	200	200	200	200	1	3656	200	4.0447	8.86345	200	200	200	200	1	3656	200	233	233	233	233	1	3623	233	0			0			0	3623	3856	75.18	157.29
Recording4	P002	Timeline1	headphoneInBathroom	1	headphoneInBathroom	Rectangle 6	10001	145845		150	150	150	150	1	8990	150	Rectangle 1		4.27611	8.88497	150	150	150	150	1	8990	150	4.27611	8.88497	150	150	150	150	1	8990	150	167	167	167	167	1	8973	167	0			0			0	8973	9140	96.68	86.11
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle	7840	177632		0				0			Rectangle 3				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 1	7840	177632		283	283	283	283	1	3486	283	Rectangle 3		4.61254	8.53849	283	283	283	283	1	3486	283	4.61254	8.53849	283	283	283	283	1	3486	283	317	317	317	317	1	3453	317	0			0			0	3453	3769	99.72	294.45
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 2	7840	177632		0				0			Rectangle 3				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 3	7840	177632		2383	238	67	483	10	1236	167	Rectangle 3		4.68745	8.40178	2383	238	67	483	10	1236	167	4.68745	8.40178	3000	600	283	1100	5	1236	433	3200	640	333	1150	5	1203	467	0			0			3	1203	1669	143.22	171.22
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 4	7840	177632		133	133	133	133	1	6036	133	Rectangle 3		4.89499	8.39728	133	133	133	133	1	6036	133	4.89499	8.39728	133	133	133	133	1	6036	133	167	167	167	167	1	6003	167	0			0			0	6003	6170	113.93	310.58
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 5	7840	177632		367	183	150	217	2	1886	217	Rectangle 3		4.38595	8.49529	367	183	150	217	2	1886	217	4.38595	8.49529	367	183	150	217	2	1886	217	417	208	183	233	2	1869	233	0			0			0	1869	2103	80.39	272.5
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 6	7840	177632		300	300	300	300	1	4419	300	Rectangle 3		4.62074	8.506	300	300	300	300	1	4419	300	4.62074	8.506	300	300	300	300	1	4419	300	333	333	333	333	1	4386	333	0			0			0	4386	4719	117.55	113.61
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 7	7840	177632		0				0			Rectangle 3				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 8	7840	177632		0				0			Rectangle 3				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoCheats	1	whoCheats	Rectangle 9	7840	177632		333	167	150	183	2	886	150	Rectangle 3		4.51805	8.31614	333	167	150	183	2	886	150	4.51805	8.31614	333	167	150	183	2	886	150	400	200	200	200	2	836	200	0			0			0	836	1036	255.86	109.93
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle	7096	216487		0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle 1	7096	216487		167	167	167	167	1	2748	167	Rectangle 2		4.85441	8.23182	167	167	167	167	1	2748	167	4.85441	8.23182	167	167	167	167	1	2748	167	183	183	183	183	1	2731	183	0			0			0		2914		264.76
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle 2	7096	216487		317	317	317	317	1	4898	317	Rectangle 2		4.93068	8.47465	317	317	317	317	1	4898	317	4.93068	8.47465	317	317	317	317	1	4898	317	350	350	350	350	1	4864	350	0			0			0	4864	5214	74.48	229.33
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle 3	7096	216487		0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle 4	7096	216487		0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle 5	7096	216487		0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle 6	7096	216487		0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle 7	7096	216487		0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	whoThief	1	whoThief	Rectangle 8	7096	216487		0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Dice	229757	0	Escape	533	178	100	217	3	138018	217	Rectangle 2		4.42462	8.92977	533	178	100	217	3	138018	217	4.42462	8.92977	533	178	100	217	3	138018	217	633	211	133	250	3	137984	250	0			0			0	137984	138234	145.67	111.33
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	M1	229757	0	Escape	317	317	317	317	1	137418	317	Rectangle 2		4.35069	9.02049	317	317	317	317	1	137418	317	4.35069	9.02049	317	317	317	317	1	137418	317	350	350	350	350	1	137384	350	0			0			0	137384	137734	58.31	190.07
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	M2	229757	0	Escape	133	133	133	133	1	139684	133	Rectangle 2		4.75654	8.88522	133	133	133	133	1	139684	133	4.75654	8.88522	133	133	133	133	1	139684	133	183	183	183	183	1	139634	183	0			0			0	139634	139818	168.52	120.9
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle	229757	0	Escape	69	69	69	69	1	216418	69	Rectangle 2		3.65396	9.16441	0				0					69	69	69	69	1	216418	69	102	102	102	102	1	216385	102	0			0			0	216385		149.69	
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle	229757	0	Escape	833	278	167	483	3	201018	183	Rectangle 2		3.91765	9.07445	833	278	167	483	3	201018	183	3.91765	9.07445	833	278	167	483	3	201018	183	950	317	200	517	3	200968	233	0			0			0	200968	201201	268.32	43.1
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle	229757	0	Escape	200	200	200	200	1	154618	200	Rectangle 2		4.17644	8.82497	200	200	200	200	1	154618	200	4.17644	8.82497	200	200	200	200	1	154618	200	250	250	250	250	1	154568	250	0			0			0	154568	154818	256.18	96.68
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle	229757	0	Escape	217	217	217	217	1	157401	217	Rectangle 2		3.86476	9.21745	217	217	217	217	1	157401	217	3.86476	9.21745	217	217	217	217	1	157401	217	250	250	250	250	1	157368	250	0			0			0	157368	157618	295.26	490.53
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle	229757	0	Escape	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle	229757	0	Escape	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 1	229757	0	Escape	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 1	229757	0	Escape	0				0			Rectangle 2				0				0					0				0			0				0			0			0			0				
Recording4	P002	Timeline1	Entire Recording	1	EndTq,findDice,findYummy,frog,frogInBathroom,headphoneInBathroom,PracticeIns,spotNeedleInst,StartInst,Text (1),whoCheats,whoThief	Rectangle 1	229757	0	Escape	383	192	150	233	2	149751	233	Rectangle 2		4.18607	8.88658	383	192	150	233	2	149751	233	4.18607	8.88658	383	192	150	233	2	149751	233	467	233	183	283	2	149701	283	0			0			0	149701	149984	157.29	184.08
